date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2015-01-05,sh.600000,16.0700,6.530320,1.295783,2.555270,-9.848905
2015-01-06,sh.600000,16.1300,6.398990,1.300621,2.448213,-9.885678
2015-01-07,sh.600000,15.8100,6.272041,1.274818,2.399643,-9.689558
2015-01-08,sh.600000,15.2500,6.049882,1.229664,2.314647,-9.346348
2015-01-09,sh.600000,15.4300,6.121290,1.244178,2.341967,-9.456665
2015-01-12,sh.600000,15.2200,6.037980,1.227245,2.310093,-9.327961
2015-01-13,sh.600000,15.1800,6.022112,1.224019,2.304022,-9.303446
2015-01-14,sh.600000,15.4900,6.145093,1.249016,2.351074,-9.493438
2015-01-15,sh.600000,16.1200,6.395023,1.299815,2.446695,-9.879549
2015-01-16,sh.600000,16.4700,6.533872,1.328037,2.499818,-10.094056
2015-01-19,sh.600000,14.8200,5.879295,1.194991,2.249381,-9.082811
2015-01-20,sh.600000,15.0000,5.950703,1.209505,2.276702,-9.193129
2015-01-21,sh.600000,15.7400,6.244271,1.269174,2.389019,-9.646657
2015-01-22,sh.600000,15.6300,6.200633,1.260304,2.372323,-9.579240
2015-01-23,sh.600000,15.6300,6.200633,1.260304,2.372323,-9.579240
2015-01-26,sh.600000,15.4300,6.121290,1.244178,2.341967,-9.456665
2015-01-27,sh.600000,15.0100,5.954670,1.210311,2.278219,-9.199258
2015-01-28,sh.600000,14.8100,5.875328,1.194185,2.247863,-9.076683
2015-01-29,sh.600000,14.4200,5.720609,1.162738,2.188669,-8.837661
2015-01-30,sh.600000,14.4700,5.740445,1.166769,2.196258,-8.868305
2015-02-02,sh.600000,14.0400,5.569858,1.132097,2.130993,-8.604769
2015-02-03,sh.600000,14.4500,5.732511,1.165157,2.193223,-8.856048
2015-02-04,sh.600000,14.1800,5.625398,1.143385,2.152242,-8.690571
2015-02-05,sh.600000,14.1800,5.625398,1.143385,2.152242,-8.690571
2015-02-06,sh.600000,14.0900,5.589694,1.136128,2.138582,-8.635412
2015-02-09,sh.600000,14.1600,5.617464,1.141773,2.149206,-8.678314
2015-02-10,sh.600000,14.4300,5.724577,1.163544,2.190187,-8.843790
2015-02-11,sh.600000,14.4200,5.720609,1.162738,2.188669,-8.837661
2015-02-12,sh.600000,14.3500,5.692840,1.157093,2.178045,-8.794760
2015-02-13,sh.600000,14.4300,5.724577,1.163544,2.190187,-8.843790
2015-02-16,sh.600000,14.4000,5.712675,1.161125,2.185634,-8.825404
2015-02-17,sh.600000,14.4700,5.740445,1.166769,2.196258,-8.868305
2015-02-25,sh.600000,14.2800,5.665070,1.151449,2.167420,-8.751859
2015-02-26,sh.600000,14.6200,5.799952,1.178864,2.219025,-8.960236
2015-02-27,sh.600000,14.5300,5.764248,1.171607,2.205365,-8.905078
2015-03-02,sh.600000,14.4800,5.744412,1.167576,2.197776,-8.874434
